"input_var","target_var"
-2.75,-0.224155238255832
-2.55,-0.831693780458487
-2.35,-0.542627998075869
-2.15,-0.724600355885312
-1.95,-1.02637237764988
-1.75,-1.14354822068131
-1.55,-1.14830441883785
-1.35,-1.24731502950511
-1.15,-0.788359692505982
-0.95,-0.846175269409075
-0.75,-0.748298539178915
-0.55,-0.633481540622044
-0.35,-0.408538864635885
-0.15,-0.347656669090198
0.0500000000000003,-0.0533727839355219
0.25,-0.0167276386711268
0.45,0.691021780627096
0.65,0.603658925445966
0.85,0.662940649773449
1.05,0.704347698358151
1.25,0.715433758768646
1.45,1.14429844637166
1.65,1.08720761301477
1.85,1.17798919792997
2.05,1.14448630418749
2.25,0.757878868513407
2.45,0.692197512632881
2.65,0.480388583587863
